toxin,replicate,score,numFeatures
micro,0,0.15274500720883155,38
micro,1,0.16015553827757134,38
micro,2,0.15490394900512816,38
micro,3,0.15587305261615303,38
micro,4,0.13005189291502162,38
micro,5,0.13799701423138533,38
micro,6,0.15139160846619937,38
micro,7,0.15288190128421197,38
micro,8,0.15804972023205133,38
micro,9,0.15902131368990202,38
micro,0,0.15829675401923993,37
micro,1,0.156658108287847,37
micro,2,0.15069960904890634,37
micro,3,0.15551878951159204,37
micro,4,0.14867534658329995,37
micro,5,0.15947372967140983,37
micro,6,0.15090842805986082,37
micro,7,0.1610077839704812,37
micro,8,0.14299893055289115,37
micro,9,0.15469853586988935,37
micro,0,0.1675628249299408,36
micro,1,0.15923941841059241,36
micro,2,0.1602664049872844,36
micro,3,0.1452604011793308,36
micro,4,0.15506518475852094,36
micro,5,0.14783134287536948,36
micro,6,0.15861183956971558,36
micro,7,0.14363307310687268,36
micro,8,0.16448102497811756,36
micro,9,0.15554911429833596,36
micro,0,0.1485713476327356,35
micro,1,0.16054416337750366,35
micro,2,0.15128207687782746,35
micro,3,0.1515093570342565,35
micro,4,0.14294472392887636,35
micro,5,0.16011526927161301,35
micro,6,0.16206817206687152,35
micro,7,0.14360136493529208,35
micro,8,0.15063448169834692,35
micro,9,0.15729539778450208,35
micro,0,0.15939988452429377,34
micro,1,0.15484642773768598,34
micro,2,0.1621122833751153,34
micro,3,0.15309594378387958,34
micro,4,0.15471390683867248,34
micro,5,0.16072686552768212,34
micro,6,0.14233649681839766,34
micro,7,0.1424990050064776,34
micro,8,0.15225402841953795,34
micro,9,0.13624535492611844,34
micro,0,0.10470332383427516,33
micro,1,0.11316979527001003,33
micro,2,0.08678802480818415,33
micro,3,0.11207250237976019,33
micro,4,0.08816906339638197,33
micro,5,0.11665977388339066,33
micro,6,0.104130238251822,33
micro,7,0.11291361378007692,33
micro,8,0.08926434137119466,33
micro,9,0.08805646763855812,33
micro,0,0.11552384428831064,32
micro,1,0.11002189903896498,32
micro,2,0.10630191360675012,32
micro,3,0.09091471673478801,32
micro,4,0.1037913327817418,32
micro,5,0.08827141242995995,32
micro,6,0.114111839497257,32
micro,7,0.101602382707917,32
micro,8,0.08757185293268699,32
micro,9,0.10600071465198091,32
micro,0,0.10731170156468717,31
micro,1,0.0786896724331384,31
micro,2,0.11266285251977326,31
micro,3,0.11530090924196079,31
micro,4,0.09834481140579288,31
micro,5,0.074231497444048,31
micro,6,0.10368819781387684,31
micro,7,0.12509733130764344,31
micro,8,0.10251806956052112,31
micro,9,0.11355177605466227,31
micro,0,0.16752023900753632,30
micro,1,0.14443170962620278,30
micro,2,0.14715659017675542,30
micro,3,0.16977552135492302,30
micro,4,0.15900757625106732,30
micro,5,0.17007905251645705,30
micro,6,0.16674985833128675,30
micro,7,0.15633149861687468,30
micro,8,0.17422674030345775,30
micro,9,0.156643463770344,30
micro,0,0.1705110046976266,29
micro,1,0.17119179612018143,29
micro,2,0.17172733093251802,29
micro,3,0.16149599176054164,29
micro,4,0.17813792836014775,29
micro,5,0.17678839042067318,29
micro,6,0.1657354834099507,29
micro,7,0.1618682882417869,29
micro,8,0.1812283817593281,29
micro,9,0.16747328801660122,29
micro,0,0.17784200365909808,28
micro,1,0.17406039048578703,28
micro,2,0.18108275138332897,28
micro,3,0.1723563452929362,28
micro,4,0.18705595631390826,28
micro,5,0.18097873590800928,28
micro,6,0.18735316276281777,28
micro,7,0.18511578967484288,28
micro,8,0.1892531611236673,28
micro,9,0.18180384990595644,28
micro,0,0.20066120856947156,27
micro,1,0.20968549055379004,27
micro,2,0.19150216567181055,27
micro,3,0.1874110771198575,27
micro,4,0.20844090766642265,27
micro,5,0.18712104193286283,27
micro,6,0.18599205211319791,27
micro,7,0.18635521383124243,27
micro,8,0.20131454742490162,27
micro,9,0.18451155075905656,27
micro,0,0.15907882009869612,26
micro,1,0.1824343771150586,26
micro,2,0.1779790419946522,26
micro,3,0.16917609342008744,26
micro,4,0.1621348307102718,26
micro,5,0.195145125856659,26
micro,6,0.1749678090497584,26
micro,7,0.17045354229823884,26
micro,8,0.15667995785189104,26
micro,9,0.1668346047395346,26
micro,0,0.1392074121310951,25
micro,1,0.14977649333862397,25
micro,2,0.140942265520955,25
micro,3,0.1553920694642591,25
micro,4,0.1822241300051679,25
micro,5,0.16061466988095263,25
micro,6,0.1764158197818404,25
micro,7,0.1562595316188755,25
micro,8,0.1509833538074018,25
micro,9,0.14731088666440217,25
micro,0,0.1700854601217343,24
micro,1,0.15083883416656696,24
micro,2,0.17355961515642326,24
micro,3,0.17106238137074792,24
micro,4,0.16658986701485756,24
micro,5,0.16688336265154358,24
micro,6,0.1582394570496447,24
micro,7,0.16243541134675255,24
micro,8,0.1662927621632183,24
micro,9,0.1632235560734392,24
micro,0,0.0957689285725627,23
micro,1,0.09746735694748909,23
micro,2,0.10566913046799331,23
micro,3,0.10574228895626203,23
micro,4,0.10147854975142401,23
micro,5,0.10486895593104184,23
micro,6,0.10393926389763686,23
micro,7,0.09525746883814956,23
micro,8,0.10725107555706659,23
micro,9,0.10041287949297661,23
micro,0,0.13536980101622653,22
micro,1,0.11837675734960551,22
micro,2,0.11106023569644474,22
micro,3,0.1385670314518367,22
micro,4,0.12478947953852026,22
micro,5,0.13655293908487243,22
micro,6,0.11735825308650716,22
micro,7,0.12038306811020405,22
micro,8,0.12296315511560962,22
micro,9,0.11224298129922294,22
micro,0,0.14556103749894855,21
micro,1,0.14898782838284297,21
micro,2,0.1511791981498295,21
micro,3,0.13321976025636784,21
micro,4,0.15213887041366103,21
micro,5,0.1383950799235939,21
micro,6,0.1468710237307138,21
micro,7,0.155456022567111,21
micro,8,0.12661236360329764,21
micro,9,0.12444314853878558,21
micro,0,0.13969412744158405,20
micro,1,0.14484890082257817,20
micro,2,0.12941248450133047,20
micro,3,0.13593677213731437,20
micro,4,0.11860468370622312,20
micro,5,0.1358485256369647,20
micro,6,0.11232159462028368,20
micro,7,0.13114329719558382,20
micro,8,0.13395271278528365,20
micro,9,0.1237390170272038,20
micro,0,0.12047772756965103,19
micro,1,0.12816605416024873,19
micro,2,0.1376306061116137,19
micro,3,0.1270863055338325,19
micro,4,0.14196819452536935,19
micro,5,0.12618684975807715,19
micro,6,0.14510016862457986,19
micro,7,0.12591063129095648,19
micro,8,0.12494014464871428,19
micro,9,0.13103160037210515,19
micro,0,0.044583479590171504,18
micro,1,0.053918134258742256,18
micro,2,0.035533208457604104,18
micro,3,0.059144783811498236,18
micro,4,0.05012679201563919,18
micro,5,0.038984789531819275,18
micro,6,0.04547291347763438,18
micro,7,0.04779054500267088,18
micro,8,0.04142837731804527,18
micro,9,0.04852651355432025,18
micro,0,0.11566459387031747,17
micro,1,0.1128050018797837,17
micro,2,0.10682602022053267,17
micro,3,0.1149030572392058,17
micro,4,0.10153083734296697,17
micro,5,0.11824963132145949,17
micro,6,0.14242465584936348,17
micro,7,0.1318823422785882,17
micro,8,0.12582646804995778,17
micro,9,0.11591952418966545,17
micro,0,0.02410100096003609,16
micro,1,0.02833254337169855,16
micro,2,0.017891615333583077,16
micro,3,0.0205595907759466,16
micro,4,0.02730891954080128,16
micro,5,0.027743150526839178,16
micro,6,0.02004575750643156,16
micro,7,0.03208999684299829,16
micro,8,0.013500216662747033,16
micro,9,0.024039114962922548,16
micro,0,0.1053253683943397,15
micro,1,0.11662492329659158,15
micro,2,0.1427057224213033,15
micro,3,0.10908820001747443,15
micro,4,0.13343361054179326,15
micro,5,0.1182201537165074,15
micro,6,0.10418251422440716,15
micro,7,0.08783955550991696,15
micro,8,0.10007390833202745,15
micro,9,0.11832025259058176,15
micro,0,0.12233101049042117,14
micro,1,0.13485042449986495,14
micro,2,0.14912695448152424,14
micro,3,0.13116367007761986,14
micro,4,0.1276328310400301,14
micro,5,0.12651107343017443,14
micro,6,0.15451827964937015,14
micro,7,0.13632569184111432,14
micro,8,0.13475321851264488,14
micro,9,0.12794875905223435,14
micro,0,0.12706908301818098,13
micro,1,0.12255566482772451,13
micro,2,0.1258194131538687,13
micro,3,0.13126892083854613,13
micro,4,0.09197047132618541,13
micro,5,0.1376585963823982,13
micro,6,0.13150939183395793,13
micro,7,0.10872279704394161,13
micro,8,0.084814696874973,13
micro,9,0.13459646692802774,13
micro,0,0.189173030325542,12
micro,1,0.19620099941094649,12
micro,2,0.20699698977182612,12
micro,3,0.18896506747248754,12
micro,4,0.19620099941094638,12
micro,5,0.189173030325542,12
micro,6,0.20699698977182623,12
micro,7,0.189173030325542,12
micro,8,0.19996902068642175,12
micro,9,0.19996902068642175,12
micro,0,0.15196875010291233,11
micro,1,0.13029472210992166,11
micro,2,0.143397846243152,11
micro,3,0.12920776292156433,11
micro,4,0.16766825510916272,11
micro,5,0.16667781641820356,11
micro,6,0.17623915896892317,11
micro,7,0.12920776292156433,11
micro,8,0.15196875010291233,11
micro,9,0.17623915896892306,11
ana,0,0.20877901045304914,38
ana,1,0.20551933457879346,38
ana,2,0.2075474051113021,38
ana,3,0.2035205545440485,38
ana,4,0.20969944998004153,38
ana,5,0.2063076078307834,38
ana,6,0.20706938673483366,38
ana,7,0.21007613143207748,38
ana,8,0.20667823491331827,38
ana,9,0.20386108569000094,38
ana,0,0.20625472126006728,37
ana,1,0.21174340346954146,37
ana,2,0.2061790090711929,37
ana,3,0.2052095276329502,37
ana,4,0.2070038688065995,37
ana,5,0.20505015544520844,37
ana,6,0.20255361050364118,37
ana,7,0.20630556936433764,37
ana,8,0.20925110954013593,37
ana,9,0.21067062788305913,37
ana,0,0.20679369706469908,36
ana,1,0.20877778234560973,36
ana,2,0.20652702789181954,36
ana,3,0.20713594315271,36
ana,4,0.20827432520412925,36
ana,5,0.20458065800468495,36
ana,6,0.21032387655099627,36
ana,7,0.20693257174886592,36
ana,8,0.20886350591330805,36
ana,9,0.20695978551667404,36
ana,0,0.20764252052601107,35
ana,1,0.21050152875275463,35
ana,2,0.2053199254559156,35
ana,3,0.2061689750908533,35
ana,4,0.20839289414981932,35
ana,5,0.2054792820719139,35
ana,6,0.2100782296296636,35
ana,7,0.20886789487760282,35
ana,8,0.20560590149454694,35
ana,9,0.20674354463532885,35
ana,0,0.2066689724181091,34
ana,1,0.20526959131772937,34
ana,2,0.20947463618438122,34
ana,3,0.20947058741959168,34
ana,4,0.20623133189813303,34
ana,5,0.20528427450327758,34
ana,6,0.20626737528749106,34
ana,7,0.20858724988184518,34
ana,8,0.20997660631197423,34
ana,9,0.2065834086382734,34
ana,0,0.20853745891651188,33
ana,1,0.20944049319415703,33
ana,2,0.20548837350817206,33
ana,3,0.2070549874989721,33
ana,4,0.2056854538161038,33
ana,5,0.2086677583676687,33
ana,6,0.20699952377227626,33
ana,7,0.21015547784993827,33
ana,8,0.21018597504342895,33
ana,9,0.20926187365344562,33
ana,0,0.20634711418710705,32
ana,1,0.20712776083953077,32
ana,2,0.2060032394976331,32
ana,3,0.20604890208201132,32
ana,4,0.2048238024564648,32
ana,5,0.2087114049420159,32
ana,6,0.20830235706199296,32
ana,7,0.2094592786572821,32
ana,8,0.20745577836695428,32
ana,9,0.2047384663464521,32
ana,0,0.20558103724846932,31
ana,1,0.20462980289700994,31
ana,2,0.20274094673705578,31
ana,3,0.20480220280927486,31
ana,4,0.2063713467256113,31
ana,5,0.20588940869808192,31
ana,6,0.20311050072851067,31
ana,7,0.20362015216365836,31
ana,8,0.20290522889660234,31
ana,9,0.2061666212232749,31
ana,0,0.21228258265469413,30
ana,1,0.2076093116037705,30
ana,2,0.2127631168777483,30
ana,3,0.21138677071227274,30
