toxin,numEstimators,score,replicate
micro,50,0.15997752924255126,0
micro,50,0.1673733561151577,1
micro,50,0.16960272078561056,2
micro,50,0.2445179003602881,3
micro,50,-0.1739036978092685,4
micro,50,0.08028153530153437,5
micro,50,0.13049597098034704,6
micro,50,0.15769305046632276,7
micro,50,0.43957252735882435,8
micro,50,0.047388817031914665,9
micro,50,-0.060938816639486415,10
micro,50,-0.1565424903035113,11
micro,50,0.019592553303584448,12
micro,50,-0.3765012791821405,13
micro,50,0.039128233030059856,14
micro,50,-0.037352775900960644,15
micro,50,0.23679835402207827,16
micro,50,0.10251117106883234,17
micro,50,0.25262212538167705,18
micro,50,0.49132186558853963,19
micro,50,0.19322097092277046,20
micro,50,0.06201953049041664,21
micro,50,0.21647297481037486,22
micro,50,0.1436795884808323,23
micro,50,-0.11043209217389194,24
micro,50,0.0678051306930072,25
micro,50,-0.06483174936843272,26
micro,50,-0.15030265602241188,27
micro,50,0.2888985349176074,28
micro,50,-0.3051127515708534,29
micro,50,0.03410105012334419,30
micro,50,0.23418313321356632,31
micro,50,0.10332874616591947,32
micro,50,-0.09539669710192666,33
micro,50,0.06138072289780838,34
micro,50,0.13107274569026506,35
micro,50,-0.09130564729391177,36
micro,50,0.22136422706543102,37
micro,50,-0.0042940319294131335,38
micro,50,0.15909246394207177,39
micro,50,-0.02947042215096718,40
micro,50,0.20651072013902383,41
micro,50,-0.2071514881920944,42
micro,50,-0.02786278309832224,43
micro,50,0.1721196555102109,44
micro,50,0.036237555703937496,45
micro,50,0.16290369576155106,46
micro,50,0.02328050396414072,47
micro,50,-0.24324821870865865,48
micro,50,-0.06457787726156594,49
micro,50,-0.16871620750821403,50
micro,50,0.19976357062549488,51
micro,50,0.03976734610569421,52
micro,50,0.16631118964859404,53
micro,50,0.2093186329108876,54
micro,50,0.1068750060380046,55
micro,50,0.1398407489550325,56
micro,50,-0.23111701931442896,57
micro,50,0.21518756827268148,58
micro,50,-0.12266552367895511,59
micro,50,0.12826475697641382,60
micro,50,0.31133956682896924,61
micro,50,-0.020240344690368506,62
micro,50,-0.19569873973006202,63
micro,50,0.17651586875143666,64
micro,50,-0.2602257044395129,65
micro,50,-0.054757456947640115,66
micro,50,0.049202029053138086,67
micro,50,0.11892561376336741,68
micro,50,0.12053919515696321,69
micro,50,0.2625970260442093,70
micro,50,0.15402608795161943,71
micro,50,0.10579329615064037,72
micro,50,-0.010128444744804899,73
micro,50,0.15653145191518703,74
micro,50,-0.16438501296381003,75
micro,50,-0.34758729588736403,76
micro,50,0.16626330777628573,77
micro,50,-0.06329142654945819,78
micro,50,0.07144060152714793,79
micro,50,0.1601678453650751,80
micro,50,-0.07686766605014395,81
micro,50,0.2705583053932863,82
micro,50,0.4021340770068551,83
micro,50,0.15430818562363535,84
micro,50,0.08773636155013897,85
micro,50,0.24631717433454992,86
micro,50,-0.10535777440668337,87
micro,50,-0.013087562422390064,88
micro,50,-0.03245310160500203,89
micro,50,-0.08198573318704017,90
